epoch,train_loss,train_reconstruction_loss,train_reconstruction_mae,val_loss,val_reconstruction_loss,val_reconstruction_mae
1,0.8556744137624048,0.8556744137624048,0.45482913455374596,0.5377677849680186,0.5377677849680186,0.3227199015021324
2,0.5861645083808779,0.5861645083808779,0.31611980276384044,0.5061534389853477,0.5061534389853477,0.3016454204916954
3,0.541235275116165,0.541235275116165,0.2829839658902334,0.5491628329455852,0.5491628329455852,0.24137754127383232
4,0.4737749200042159,0.4737749200042159,0.26118572108841664,0.35710670810192824,0.35710670810192824,0.22950668789446355
5,0.40932820652909485,0.40932820652909485,0.25273580973034243,0.756116710677743,0.756116710677743,0.22476244509220122
6,0.5373154088892325,0.5373154088892325,0.25206157062155776,0.7611436399258673,0.7611436399258673,0.23493857957422734
7,0.4866559442592508,0.4866559442592508,0.2357842347934204,0.3785484455525875,0.3785484455525875,0.21149180240929127
8,0.3400175926892523,0.3400175926892523,0.22877069388138557,0.2504250238835812,0.2504250238835812,0.21060106962919234
9,0.4797108188947142,0.4797108188947142,0.22773623586601816,0.3111751681566238,0.3111751681566238,0.21752902470529079
10,0.46456378758404054,0.46456378758404054,0.22482571670180304,0.29258028000593184,0.29258028000593184,0.20287687480449676
11,0.377608469079814,0.377608469079814,0.2168818749393564,0.4164690442197025,0.4164690442197025,0.1914706289023161
12,0.3971022638100521,0.3971022638100521,0.21176754062061645,0.1991239958908409,0.1991239958908409,0.1950563620775938
13,0.3651438221917194,0.3651438221917194,0.21046211726269135,0.2160959044843912,0.2160959044843912,0.18605633787810802
14,0.3307096405278525,0.3307096405278525,0.20516006599745762,0.18963008757680655,0.18963008757680655,0.17964749988168477
15,0.5015468871507146,0.5015468871507146,0.20598194830738928,423713.13015233283,423713.13015233283,3.801284339167178
16,0.37942979653701375,0.37942979653701375,0.20069661263554764,0.2996297829784453,0.2996297829784453,0.17920979611575605
17,0.42534519624087014,0.42534519624087014,0.19773571711193105,0.4246624350827187,0.4246624350827187,0.1796269892156124
18,0.30930564838745433,0.30930564838745433,0.1934788957125594,0.22083023823797704,0.22083023823797704,0.17158450417220591
19,0.29093669147538,0.29093669147538,0.19412128707999246,0.17384590822272003,0.17384590822272003,0.16985443122684957
20,0.2836219659286272,0.2836219659286272,0.19362688676386094,0.3520763546600938,0.3520763546600938,0.17460590735077858
