iter	Passed	Remaining
421	2243	13708
422	2249	13703
423	2254	13698
424	2259	13692
425	2265	13686
426	2270	13680
427	2275	13675
428	2281	13670
429	2286	13664
430	2291	13658
431	2296	13653
432	2301	13647
433	2307	13641
434	2312	13636
435	2317	13630
436	2323	13626
437	2328	13621
438	2333	13614
439	2339	13609
440	2344	13605
441	2350	13602
442	2356	13599
443	2361	13594
444	2366	13589
445	2372	13584
446	2377	13578
447	2382	13574
448	2387	13566
449	2393	13561
450	2398	13555
451	2403	13550
452	2408	13544
453	2414	13537
454	2419	13531
455	2425	13531
456	2431	13529
457	2436	13525
458	2442	13523
459	2449	13523
460	2455	13526
461	2462	13526
462	2468	13527
463	2474	13525
464	2480	13523
465	2486	13521
466	2492	13519
467	2498	13518
468	2505	13519
469	2510	13514
470	2515	13507
471	2520	13502
472	2526	13497
473	2532	13494
474	2537	13489
475	2543	13485
476	2548	13480
477	2553	13473
478	2558	13467
479	2564	13461
480	2569	13455
481	2574	13449
482	2580	13445
483	2584	13437
484	2590	13432
485	2595	13427
486	2600	13420
487	2605	13414
488	2611	13408
489	2616	13401
490	2621	13393
491	2626	13388
492	2631	13382
493	2637	13377
494	2642	13373
495	2647	13366
496	2652	13359
497	2657	13351
498	2662	13346
499	2667	13339
500	2673	13335
501	2678	13329
502	2684	13326
503	2689	13320
504	2694	13314
505	2700	13309
506	2706	13306
507	2711	13300
508	2716	13294
509	2721	13289
510	2727	13283
511	2732	13277
512	2737	13270
513	2742	13264
514	2747	13257
515	2752	13251
516	2758	13246
517	2763	13240
518	2768	13233
519	2773	13227
520	2778	13221
521	2784	13216
522	2789	13209
523	2794	13204
524	2799	13196
525	2804	13191
526	2810	13187
527	2815	13182
528	2820	13174
529	2825	13169
530	2830	13162
531	2836	13158
532	2841	13154
533	2847	13148
534	2852	13143
535	2857	13138
536	2862	13130
537	2868	13125
538	2873	13120
539	2878	13114
540	2883	13108
541	2889	13103
542	2894	13096
543	2899	13091
544	2904	13084
545	2909	13078
546	2915	13073
547	2920	13068
548	2925	13061
549	2931	13056
550	2936	13051
551	2941	13045
552	2946	13039
553	2952	13033
554	2957	13027
555	2962	13022
556	2967	13016
557	2973	13012
558	2978	13006
559	2983	12999
560	2988	12994
561	2994	12988
562	2999	12984
563	3005	12980
564	3010	12974
565	3015	12968
566	3021	12963
567	3026	12958
568	3031	12952
569	3036	12947
570	3042	12942
571	3047	12937
572	3053	12931
573	3058	12926
574	3063	12920
575	3069	12917
576	3074	12912
577	3080	12906
578	3085	12901
579	3090	12896
580	3096	12891
581	3101	12886
582	3107	12881
583	3111	12874
584	3117	12867
585	3122	12861
586	3127	12856
587	3132	12851
588	3138	12846
589	3143	12839
590	3148	12834
591	3154	12831
592	3159	12825
593	3164	12818
594	3169	12812
595	3175	12807
596	3180	12803
597	3186	12797
598	3191	12791
599	3196	12786
600	3201	12779
601	3206	12773
602	3212	12768
603	3217	12761
604	3221	12754
605	3226	12747
606	3232	12741
607	3237	12736
608	3242	12729
609	3247	12724
610	3252	12718
611	3258	12712
612	3263	12706
613	3268	12701
614	3273	12695
615	3278	12689
616	3284	12683
617	3289	12678
618	3294	12673
619	3300	12668
620	3305	12663
621	3310	12658
622	3316	12653
623	3321	12648
624	3327	12642
625	3332	12636
626	3337	12631
627	3342	12625
628	3347	12620
629	3352	12613
630	3358	12607
631	3363	12601
632	3368	12596
633	3373	12590
634	3379	12586
635	3384	12580
636	3389	12573
637	3395	12569
638	3400	12564
639	3406	12560
640	3411	12555
641	3417	12551
642	3422	12546
643	3428	12541
644	3433	12535
645	3438	12528
646	3443	12523
647	3448	12517
648	3454	12513
649	3459	12507
650	3464	12502
651	3470	12496
652	3475	12490
653	3480	12484
654	3485	12479
655	3491	12477
656	3497	12472
657	3502	12466
658	3507	12460
659	3513	12455
660	3517	12448
661	3523	12442
662	3528	12437
663	3534	12432
664	3539	12427
665	3544	12421
666	3549	12414
667	3554	12409
668	3559	12403
669	3564	12396
670	3570	12391
671	3575	12385
672	3580	12379
673	3585	12373
674	3590	12367
675	3595	12361
676	3601	12356
677	3606	12351
678	3611	12345
679	3616	12340
680	3622	12334
681	3627	12330
682	3633	12325
683	3638	12320
684	3643	12314
685	3648	12308
686	3654	12302
687	3659	12296
688	3664	12291
689	3669	12286
690	3675	12281
691	3681	12278
692	3686	12273
693	3692	12267
694	3697	12262
695	3702	12256
696	3707	12251
697	3713	12246
698	3718	12240
699	3723	12234
700	3729	12229
701	3733	12222
702	3739	12217
703	3744	12212
704	3749	12206
705	3755	12201
706	3760	12195
707	3765	12190
708	3770	12184
709	3775	12177
710	3781	12172
711	3786	12167
712	3791	12162
713	3796	12156
714	3802	12150
715	3807	12144
716	3811	12137
717	3817	12133
718	3823	12128
719	3828	12123
720	3833	12117
721	3838	12111
722	3843	12105
723	3848	12099
724	3854	12094
725	3859	12088
726	3864	12083
727	3869	12077
728	3874	12071
729	3880	12065
730	3885	12060
731	3890	12054
732	3895	12048
733	3901	12043
734	3906	12039
735	3911	12033
736	3917	12028
737	3922	12023
738	3927	12017
739	3933	12012
740	3938	12007
741	3943	12002
742	3949	11996
743	3954	11991
744	3959	11986
745	3964	11979
746	3970	11974
747	3975	11968
748	3980	11963
749	3985	11957
750	3991	11951
751	3996	11946
752	4001	11940
753	4006	11935
754	4012	11929
755	4017	11924
756	4022	11919
757	4027	11913
758	4033	11908
759	4038	11902
760	4043	11896
761	4048	11890
762	4053	11885
763	4058	11879
764	4063	11872
765	4069	11867
766	4073	11860
767	4079	11854
768	4084	11849
769	4089	11844
770	4094	11838
771	4100	11833
772	4105	11828
773	4110	11822
774	4116	11818
775	4121	11812
776	4126	11806
777	4132	11801
778	4137	11796
779	4142	11789
780	4147	11784
781	4153	11779
782	4158	11774
783	4163	11768
784	4168	11761
785	4173	11756
786	4179	11751
787	4184	11746
788	4189	11740
789	4194	11735
790	4200	11729
791	4205	11724
792	4210	11718
793	4215	11713
794	4220	11706
795	4226	11702
796	4231	11696
797	4237	11691
798	4242	11686
799	4247	11680
800	4253	11676
801	4258	11669
802	4263	11663
803	4268	11657
804	4273	11652
805	4278	11646
806	4283	11641
807	4289	11636
808	4294	11630
809	4300	11626
810	4305	11620
811	4310	11615
812	4316	11610
813	4321	11605
814	4326	11599
815	4331	11594
816	4336	11588
817	4342	11583
818	4347	11578
819	4353	11572
820	4358	11567
821	4363	11562
822	4369	11558
823	4374	11553
824	4379	11547
825	4384	11540
826	4390	11535
827	4395	11529
828	4400	11523
829	4405	11518
830	4410	11512
831	4416	11507
832	4421	11501
833	4426	11495
834	4431	11489
835	4436	11483
836	4441	11477
837	4446	11471
838	4451	11464
839	4455	11457
840	4460	11452
841	4466	11446
842	4471	11440
843	4476	11433
844	4481	11428
845	4486	11422
846	4491	11417
847	4496	11412
848	4502	11406
849	4507	11401
850	4512	11395
851	4517	11388
852	4522	11383
853	4527	11377
854	4532	11371
855	4538	11367
856	4543	11361
857	4548	11355
858	4553	11350
859	4559	11344
860	4564	11339
861	4569	11333
862	4574	11328
863	4580	11322
864	4584	11316
865	4589	11310
866	4594	11303
867	4600	11298
868	4605	11293
869	4610	11287
870	4615	11281
871	4620	11275
872	4625	11270
873	4631	11265
874	4636	11259
875	4641	11253
876	4646	11247
877	4651	11242
878	4656	11235
879	4661	11230
880	4666	11224
881	4672	11219
882	4677	11214
883	4682	11209
884	4687	11203
885	4693	11197
886	4697	11191
887	4703	11186
888	4708	11179
889	4713	11174
890	4718	11169
891	4724	11164
892	4729	11158
893	4734	11152
894	4739	11146
895	4744	11140
896	4749	11134
897	4755	11130
898	4760	11125
899	4765	11119
900	4770	11113
901	4775	11108
902	4781	11102
903	4786	11097
904	4791	11091
905	4796	11085
906	4801	11080
907	4806	11074
908	4812	11069
909	4817	11063
910	4822	11058
911	4827	11053
912	4832	11047
913	4838	11041
914	4843	11036
915	4848	11030
916	4853	11025
917	4858	11019
918	4863	11013
919	4869	11008
920	4874	11002
921	4879	10997
922	4885	10992
923	4890	10987
924	4895	10982
925	4900	10976
926	4906	10971
927	4911	10966
928	4916	10961
929	4922	10955
930	4927	10950
931	4932	10945
932	4938	10940
933	4943	10934
934	4948	10929
935	4953	10923
936	4958	10917
937	4964	10912
938	4968	10906
939	4974	10900
940	4979	10894
941	4984	10889
942	4989	10884
943	4995	10879
944	5000	10873
945	5005	10867
946	5010	10861
947	5015	10856
948	5020	10850
949	5025	10845
950	5031	10839
951	5035	10833
952	5040	10827
953	5046	10822
954	5051	10817
955	5056	10811
956	5062	10806
957	5067	10801
958	5072	10795
959	5077	10790
960	5083	10784
961	5087	10778
962	5092	10772
963	5097	10767
964	5103	10761
965	5107	10755
966	5113	10749
967	5118	10744
968	5123	10738
969	5128	10733
970	5134	10730
971	5140	10724
972	5145	10718
973	5150	10713
974	5155	10708
975	5161	10703
976	5166	10697
977	5172	10693
978	5177	10687
979	5181	10681
980	5187	10675
981	5192	10669
982	5197	10664
983	5202	10658
984	5207	10653
985	5213	10648
986	5218	10642
987	5223	10637
988	5228	10631
989	5234	10626
990	5239	10621
991	5244	10615
992	5249	10609
993	5254	10603
994	5259	10598
995	5264	10592
996	5269	10586
997	5274	10580
998	5279	10575
999	5284	10569
1000	5290	10564
1001	5295	10559
1002	5301	10555
1003	5306	10549
1004	5312	10544
1005	5316	10538
1006	5322	10533
1007	5327	10527
1008	5332	10522
1009	5337	10516
1010	5343	10511
1011	5347	10505
1012	5353	10500
1013	5358	10495
1014	5363	10489
1015	5368	10483
1016	5373	10477
1017	5378	10471
1018	5383	10466
1019	5389	10461
1020	5394	10455
1021	5399	10450
1022	5404	10445
1023	5409	10439
1024	5414	10433
1025	5420	10428
1026	5425	10423
1027	5431	10418
