epoch,train_loss,train_reconstruction_loss,train_reconstruction_mae,val_loss,val_reconstruction_loss,val_reconstruction_mae
1,0.8590056744195352,0.8590056744195352,0.455506597568166,0.5627919770404697,0.5627919770404697,0.3225382262468338
2,0.5425612079519169,0.5425612079519169,0.3098353075815989,0.49179770693182945,0.49179770693182945,0.2575667677819729
3,0.4706103751806528,0.4706103751806528,0.27550550007850155,423714.392466368,423714.392466368,3.87916179344058
4,0.3377564183485598,0.3377564183485598,0.25720296950274213,0.3146618166565895,0.3146618166565895,0.24411805868148803
5,0.3954007028125846,0.3954007028125846,0.2510382211028178,0.24969787861220538,0.24969787861220538,0.22723438896238804
6,0.5535968163752135,0.5535968163752135,0.24813931977718842,0.3248821201920509,0.3248821201920509,0.21235813140869142
7,0.3921529699811332,0.3921529699811332,0.23338294973226278,0.26699836023151874,0.26699836023151874,0.2201531259715557
8,0.39926377169656513,0.39926377169656513,0.23031141907352043,0.5306330350041389,0.5306330350041389,0.21625770792365073
9,0.3314752441734751,0.3314752441734751,0.2212457373850892,0.5849363263696432,0.5849363263696432,0.21938562497496605
10,0.46250356814497967,0.46250356814497967,0.22027646800883172,0.27936203246936203,0.27936203246936203,0.2103142300248146
11,0.3230840898018039,0.3230840898018039,0.21477091912959023,0.22428137987852095,0.22428137987852095,0.20316073551774025
12,0.5160641437889046,0.5160641437889046,0.21257397273475637,0.21401376139372588,0.21401376139372588,0.19963682770729066
13,0.4089933541188162,0.4089933541188162,0.21093171050476486,0.7114483332261443,0.7114483332261443,0.19213478796184064
14,0.3171833874071275,0.3171833874071275,0.20320981872321978,0.24451433772221207,0.24451433772221207,0.18389661073684693
15,0.3517949712141335,0.3517949712141335,0.20260758495300782,0.2193774203211069,0.2193774203211069,0.17969405367970467
16,0.34770918887117946,0.34770918887117946,0.1979380952621287,0.1730942339077592,0.1730942339077592,0.1750067622214556
17,0.3817091100950085,0.3817091100950085,0.19633234984778639,0.2225220938399434,0.2225220938399434,0.1776898042857647
18,0.2779756718190851,0.2779756718190851,0.1942056854365755,0.2056698341295123,0.2056698341295123,0.17184161581099033
19,0.3983669801795813,0.3983669801795813,0.19646734659857953,423714.24796795624,423714.24796795624,3.7989523520320656
20,0.27750976415590317,0.27750976415590317,0.19349412488697157,0.19571729252114892,0.19571729252114892,0.1722889330983162
