target_transform,label_fraction,train_rows_used,val_rows,test_rows,model_family,model_name,checkpoint_path,num_features,num_features_from_ckpt,missing_keys_count,unexpected_keys_count,val_mae,val_rmse,val_r2,val_spearman,val_median_ae,test_mae,test_rmse,test_r2,test_spearman,test_median_ae
log1p_target,1.0,98388,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v3_20260428_121932\checkpoints\best_model.pt,321,321,0,0,996.8015747070312,2454.89013671875,0.14679503440856934,0.630215197827047,309.89471435546875,1305.765625,3053.040283203125,0.12340700626373291,0.6395363418565126,458.77392578125
log1p_target,1.0,98388,133470,152488,transformer_scratch,transformer_scratch,,321,0,0,0,999.1343383789062,2411.19287109375,0.1768990159034729,0.635712192766228,300.4667053222656,1271.9228515625,2974.65478515625,0.16784149408340454,0.6625242897361362,437.6573181152344
log1p_target,0.5,49194,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v3_20260428_121932\checkpoints\best_model.pt,321,321,0,0,1001.3821411132812,2478.43994140625,0.1303468942642212,0.6180680199932017,313.177001953125,1316.083740234375,3104.05078125,0.09386986494064331,0.6199608294507059,465.709228515625
log1p_target,0.5,49194,133470,152488,transformer_scratch,transformer_scratch,,321,0,0,0,962.9998779296875,2440.2802734375,0.15692013502120972,0.6400161105643681,268.7677307128906,1235.68359375,3029.563232421875,0.13683676719665527,0.6634940551401026,372.58612060546875
log1p_target,0.3,29516,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v3_20260428_121932\checkpoints\best_model.pt,321,321,0,0,1017.1231079101562,2457.02099609375,0.1453130841255188,0.6187506953732081,330.5672607421875,1338.70068359375,3075.91015625,0.11022502183914185,0.6216089528634934,488.040283203125
log1p_target,0.3,29516,133470,152488,transformer_scratch,transformer_scratch,,321,0,0,0,982.4342041015625,2457.759765625,0.14479923248291016,0.6242245951991597,284.683837890625,1264.9052734375,3033.4306640625,0.13463163375854492,0.6421793253300069,407.8312683105469
log1p_target,0.15,14758,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v3_20260428_121932\checkpoints\best_model.pt,321,321,0,0,1016.9159545898438,2505.8369140625,0.11101406812667847,0.6021377801603709,313.8656311035156,1337.8099365234375,3137.481201171875,0.07424688339233398,0.6007924233916186,477.5791015625
log1p_target,0.15,14758,133470,152488,transformer_scratch,transformer_scratch,,321,0,0,0,987.9113159179688,2519.443115234375,0.10133379697799683,0.6125256374032615,286.94036865234375,1283.643310546875,3139.03466796875,0.07333004474639893,0.6242986586880617,409.97613525390625
log1p_target,0.1,9839,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v3_20260428_121932\checkpoints\best_model.pt,321,321,0,0,1023.7106323242188,2487.815673828125,0.12375479936599731,0.6046080163928236,332.01007080078125,1349.5982666015625,3116.262939453125,0.08672595024108887,0.6007004162479409,512.3658447265625
log1p_target,0.1,9839,133470,152488,transformer_scratch,transformer_scratch,,321,0,0,0,999.8668212890625,2532.638671875,0.09189563989639282,0.5982698861948894,302.1376953125,1304.161865234375,3170.35205078125,0.05474734306335449,0.6034426161793233,427.26519775390625
log1p_target,0.05,4919,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v3_20260428_121932\checkpoints\best_model.pt,321,321,0,0,1006.4279174804688,2501.791015625,0.11388242244720459,0.6086567310297992,324.4737854003906,1323.1524658203125,3133.668701171875,0.07649534940719604,0.6051868848702582,486.9989013671875
log1p_target,0.05,4919,133470,152488,transformer_scratch,transformer_scratch,,321,0,0,0,997.1428833007812,2549.468505859375,0.07978647947311401,0.5996953987949855,296.9714660644531,1302.2711181640625,3182.30078125,0.047608792781829834,0.6073416949975787,441.1918029785156
